회차,1,2,3,4,5,6,보너스,당첨금액
1094,6,7,15,22,26,40,41,2112854469
1093,10,17,22,30,35,43,44,1967040750
1092,7,18,19,26,33,45,37,1583289844
1091,6,20,23,24,28,30,44,2898470459
1090,12,19,21,29,40,45,1,2386494614
1089,4,18,31,37,42,43,40,2978522167
1088,11,21,22,30,39,44,31,2434697898
1087,13,14,18,21,34,44,16,1732253602
1086,11,16,25,27,35,36,37,1515913809
1085,4,7,17,18,38,44,36,1073277473
1084,8,12,13,29,33,42,5,1738764600
1083,3,7,14,15,22,38,17,1713084525
1082,21,26,27,32,34,42,31,3720489643
1081,1,9,16,23,24,38,17,2343892944
1080,13,16,23,31,36,44,38,3639444429
1079,4,8,18,24,37,45,6,2712329417
1078,6,10,11,14,36,38,43,2141604938
1077,4,8,17,30,40,43,34,3570901018
1076,3,7,9,33,36,37,10,2672689750
1075,1,23,24,35,44,45,10,2896337167
1074,1,6,20,27,28,41,15,2134763657
1073,6,18,28,30,32,38,15,2345227603
1072,16,18,20,23,32,43,27,2175006375
1071,1,2,11,21,30,35,39,5183979750
1070,3,6,14,22,30,41,36,1859116929
1069,1,10,18,22,28,31,44,1863217554
1068,4,7,19,26,33,35,3,1363929514
1067,7,10,19,23,28,33,18,1981114010
1066,6,11,16,19,21,32,45,1670947250
1065,3,18,19,23,32,45,24,1852593938
1064,3,6,9,18,22,35,14,1348168106
1063,3,6,22,23,24,38,30,3770311875
1062,20,31,32,40,41,45,12,3801933804
1061,4,24,27,35,37,45,15,2422768773
1060,3,10,24,33,38,45,36,898238907
1059,7,10,22,25,34,40,27,2033168481
1058,11,23,25,30,32,40,42,2058020250
1057,8,13,19,27,40,45,12,1616069714
1056,13,20,24,32,36,45,29,1969662456
1055,4,7,12,14,22,33,31,2362815205
1054,14,19,27,28,30,45,33,3147925709
1053,22,26,29,30,34,45,15,4090367411
1052,5,17,26,27,35,38,1,2341682762
1051,21,26,30,32,33,35,44,1669558480
1050,6,12,31,35,38,43,17,1535083280
1049,3,5,13,20,21,37,17,1727810100
1048,6,12,17,21,32,39,30,1612494508
1047,2,20,33,40,42,44,32,2748797875
1046,7,16,25,29,35,36,28,2011415719
1045,6,14,15,19,21,41,37,1990060443
1044,12,17,20,26,28,36,4,3136941235
1043,3,5,12,22,26,31,19,1468646956
1042,5,14,15,23,34,43,4,1240663669
1041,6,7,9,11,17,18,45,935091165
1040,8,16,26,29,31,36,11,3660482625
1039,2,3,6,19,36,39,26,1585019672
1038,7,16,24,27,37,44,2,1627457225
1037,2,14,15,22,27,33,31,1708576825
1036,2,5,22,32,34,45,39,2837323167
1035,9,14,34,35,41,42,2,3231193735
1034,26,31,32,33,38,40,11,2868856209
1033,3,11,15,20,35,44,10,1913414943
1032,1,6,12,19,36,42,28,2675257538
1031,6,7,22,32,35,36,19,3213957563
1030,2,5,11,17,24,29,9,1276406507
1029,12,30,32,37,39,41,24,2527848450
1028,5,7,12,13,18,35,23,1181235132
1027,14,16,27,35,39,45,5,2460504338
1026,5,12,13,31,32,41,34,1619118475
1025,8,9,20,25,29,33,7,6118853344
1024,9,18,20,22,38,44,10,3020323500
1023,10,14,16,18,29,35,25,2745677875
1022,5,6,11,29,42,45,28,4866468075
1021,12,15,17,24,29,45,16,2108962250
1020,12,27,29,38,41,45,6,1966431520
1019,1,4,13,17,34,39,6,438565140
1018,3,19,21,25,37,45,35,12361744688
1017,12,18,22,23,30,34,32,3517684822
1016,15,26,28,34,41,42,44,2260660671
1015,14,23,31,33,37,40,44,3051105610
1014,3,11,14,18,26,27,21,2410449338
1013,21,22,26,34,36,41,32,5047570725
1012,5,11,18,20,35,45,3,1861944318
1011,1,9,12,26,35,38,42,2220348512
1010,9,12,15,25,34,36,3,3119380079
1009,15,23,29,34,40,44,20,1702462825
1008,9,11,30,31,41,44,33,2267377910
1007,8,11,16,19,21,25,40,2718786375
1006,8,11,15,16,17,37,36,2855602125
1005,8,13,18,24,27,29,17,2061199344
1004,7,15,30,37,39,44,18,2576251913
1003,1,4,29,39,43,45,31,1811116822
1002,17,25,33,35,38,45,15,3088449563
1001,6,10,12,14,20,42,15,2077279594
1000,2,8,19,22,32,42,39,1246819620
999,1,3,9,14,18,28,34,1513274790
